"nro","institution","code","type","duration","degrees","regime","name","description"
1,1,,"presential",3,"upper-tech","yearly","Contaduria General","909/89"
2,1,,"presential",3,"upper-tech","yearly","Turismo","99/08"
3,1,,"presential",3,"upper-tech","yearly","Industria de la Madera","99/08"
4,1,,"presential",3,"upper-tech","yearly","Mecanica Automotriz","99/08"
5,1,,"presential",3,"upper-tech","yearly","Mecanica Industrial","99/08"
6,1,,"presential",3,"upper-tech","yearly","Industria de Alimentos","99/08"
7,1,,"presential",3,"upper-tech","yearly","Electricidad Industrial","99/08"
8,1,,"presential",3,"upper-tech","yearly","Agropecuaria","99/08"
9,1,,"presential",3,"upper-tech","yearly","Artesania","99/08"
10,1,,"presential",3,"upper-tech","yearly","Bellas Artes","99/08"
11,1,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","99/08"
12,1,,"presential",3,"upper-tech","yearly","Tecnico en Administracion de Empresas","99/08"
13,1,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","99/08"
14,1,,"presential",3,"upper-tech","yearly","Agropecuaria","99/08"
15,2,,"presential",3,"upper-tech,mid-tech","yearly","Electromecanica","261/05"
16,2,,"presential",3,"upper-tech,mid-tech","yearly","Electronica y Automatizacion Industrial","261/05"
17,2,,"presential",3,"upper-tech,mid-tech","yearly","Sistemas Informaticos","261/05"
18,2,,"presential",3,"upper-tech","yearly","Industria de Alimentos","522/15"
19,2,,"presential",3,"upper-tech","yearly","Mecanica Automotriz","522/15"
20,3,,"presential",3,"upper-tech","yearly","Administracion de Empresas","259/11"
21,3,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","259/11"
22,3,,"presential",3,"upper-tech","yearly","Construccion Civil","259/11"
23,3,,"presential",3,"upper-tech","yearly","Contaduria General","259/11"
24,3,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","259/11"
25,4,,"presential",2,"mid-tech","yearly","Secretariado Ejecutivo","369/84"
26,4,,"presential",3,"upper-tech","yearly","Contaduria General","074/02"
27,4,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","074/02"
28,4,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","074/02"
29,4,,"presential",2,"mid-tech","yearly","Tecnico Bancario","074/02"
30,4,,"presential",3,"upper-tech","yearly","Gestion Municipal","028/10"
31,5,,"presential",3,"upper-tech","yearly","Contaduria General","1005/91"
32,5,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","1005/91"
33,5,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","1005/91"
34,6,,"presential",3,"upper-tech,mid-tech","yearly","Agropecuaria","730/13"
35,7,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","70/2009"
36,7,,"presential",3,"upper-tech","yearly","Contaduria General","70/2009"
37,7,,"presential",3,"upper-tech","yearly","Parvulario","70/2009"
38,7,,"presential",3,"upper-tech","yearly","Gastronomia","319/2016"
39,7,,"presential",,"training","modular","Dactilografia Computarizada","70/2009"
40,7,,"presential",,"training","modular","Operacion de Sistemas","70/2009"
41,7,,"presential",,"training","modular","Gastronomia Turistica","319/2016"
42,8,,"presential",3,"upper-tech","yearly","Agropecuaria","802/2015"
43,8,,"presential",,"training","modular","Produccion de Miel de Abeja y Derivados","211/2016"
44,8,,"presential",,"training","modular","Fabricacion de Muebles en Madera","211/2016"
45,8,,"presential",,"training","modular","Produccion de Citiricos","211/2016"
46,8,,"presential",,"training","modular","Confeccion de Ropa Casual","211/2016"
47,9,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","826/1986"
48,9,,"presential",3,"upper-tech","yearly","Contaduria General","826/1986"
49,9,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","066/2012"
50,9,,"presential",3,"upper-tech","semiyearly","Turismo","066/2012"
51,9,,"presential",3,"upper-tech","yearly","Mercadotecnia","301/2015"
52,10,,"presential",3,"upper-tech","yearly","Agropecuaria","672/2009"
53,10,,"presential",3,"upper-tech","yearly","Industria de Alimentos","672/2009"
54,11,,"presential",3,"upper-tech","yearly","Agropecuaria","674/2009"
55,11,,"presential",3,"upper-tech","yearly","Veterinaria y Zootecnia","674/2009"
56,12,,"presential",3,"upper-tech","yearly","Agropecuaria","673/2009"
57,12,,"presential",3,"upper-tech","yearly","Industria de Alimentos","673/2009"
58,13,,"presential",3,"upper-tech","yearly","Agropecuaria","671/2009"
59,13,,"presential",3,"upper-tech","semiyearly","Construccion Civil","671/2009"
60,14,,"presential",2,"mid-tech","yearly","Confeccion Textil Industrial","077/08"
61,14,,"presential",2,"mid-tech","yearly","Artesania","077/08"
62,14,,"presential",2,"mid-tech","yearly","Gastronomia","077/08"
63,14,,"presential",4,"mid-tech","semiyearly","Estetica","077/08"
64,15,,"presential",3,"upper-tech","mixed","Secretariado Ejecutivo","284/94"
65,15,,"presential",3,"upper-tech","mixed","Electricidad Industrial","318/2005"
66,15,,"presential",3,"upper-tech","mixed","Electronica","203/2004"
67,15,,"presential",3,"upper-tech","mixed","Construccion Civil","06/96"
68,16,,"presential",3,"upper-tech","yearly","Contaduria General","088/88"
69,16,,"presential",3,"upper-tech","yearly","Secretariado Ejecutivo","953/2009"
70,16,,"presential",6,"upper-tech","semiyearly","Topografia","953/2009"
71,16,,"presential",3,"upper-tech","yearly","Gastronomia","953/2009"
72,16,,"presential",3,"upper-tech","yearly","Administracion de Empresas","088/88"
73,16,,"presential",3,"upper-tech","yearly","Sistemas Informaticos","953/2009"
74,16,,"presential",6,"upper-tech","semiyearly","Construccion Civil","953/2009"
75,16,,"presential",6,"upper-tech","semiyearly","Mecanica Automotriz","047/2015"
76,16,,"presential",6,"upper-tech","semiyearly","Informatica Industrial","343/2015"
77,17,,"presential",3,"upper-tech","yearly","Turismo y Hoteleria","226/2005"
78,17,,"presential",3,"upper-tech","yearly","Agropecuaria","[005/95,475/96]"
79,17,,"presential",3,"upper-tech","yearly","Veterinaria y Zootecnia","226/2005"
80,17,,"presential",3,"upper-tech","yearly","Mecanica Automotriz","233/02"
